Manufacturer,Model,Year,Mileage,Condition,Price
Ford,Silverado,2022,18107,Excellent,19094.75
Toyota,Silverado,2014,13578,Excellent,27321.1
Chevrolet,Civic,2016,46054,Good,23697.3
Ford,Civic,2022,34981,Excellent,18251.05
Chevrolet,Civic,2019,63565,Excellent,19821.85
Ford,Silverado,2013,23600,Excellent,27820
Toyota,Altima,2014,11470,Excellent,27426.6
Chevrolet,Silverado,2015,89471,Good,22526.55
Ford,Camry,2014,121298,Good,21935.1
Ford,Altima,2016,110691,Excellent,20465.45
Toyota,Altima,2019,112693,Excellent,17365.45
Nissan,Silverado,2016,101914,Good,20904.4
Toyota,Silverado,2012,79902,Excellent,26005
Chevrolet,Silverado,2021,97489,Excellent,16125.65
Toyota,F-150,2014,72976,Excellent,24351.3
Ford,F-150,2022,40633,Good,17968.35
Chevrolet,F-150,2017,48281,Fair,22586.05
Nissan,Altima,2020,33054,Good,20347.4
Chevrolet,Camry,2010,121446,Excellent,25927.8
Nissan,Civic,2013,61672,Good,25916.4
Ford,Silverado,2015,126395,Good,20680.35
Nissan,Camry,2021,119784,Excellent,15010.8
Chevrolet,Silverado,2014,148697,Good,20565.15
Nissan,Altima,2020,100665,Good,16966.65
Ford,Civic,2010,66951,Excellent,28652.45
Toyota,F-150,2017,65559,Excellent,21722.15
Ford,Silverado,2018,69109,Excellent,20544.55
Ford,Camry,2013,75631,Good,25218.55
Honda,Civic,2022,34080,Excellent,18296
Honda,F-150,2011,134672,Fair,24266.5
Honda,F-150,2011,54295,Excellent,28285.25
Ford,Altima,2022,20693,Excellent,18965.45
Honda,Camry,2010,63740,Excellent,28813.1
Toyota,Silverado,2019,117503,Good,17124.95
Chevrolet,Camry,2017,81466,Excellent,20926.8
Chevrolet,Altima,2013,106330,Excellent,23683.4
Chevrolet,F-150,2020,43785,Excellent,19810.75
Chevrolet,Silverado,2013,102118,Excellent,23894.1
Nissan,Camry,2013,96202,Excellent,24189.9
Chevrolet,Civic,2019,133627,Fair,16318.75
Toyota,Civic,2020,131994,Excellent,15400.4
Ford,Camry,2022,38705,Fair,18064.85
Toyota,Camry,2021,139945,Good,14002.85
Honda,Silverado,2016,69108,Fair,22544.7
Nissan,F-150,2011,17149,Good,30142.65
Toyota,F-150,2013,53165,Fair,26341.85
Ford,Camry,2010,105649,Excellent,26717.55
Toyota,Altima,2014,72408,Good,24379.6
Toyota,Civic,2014,88835,Good,23558.35
Honda,Civic,2022,17332,Excellent,19133.5
Toyota,F-150,2010,123884,Excellent,25805.7
Honda,Camry,2018,40238,Excellent,21988.2
Toyota,Altima,2021,36817,Excellent,19159.15
Toyota,Altima,2017,44880,Excellent,22756.1
Nissan,Silverado,2016,77083,Excellent,22145.85
Nissan,Altima,2011,33565,Excellent,29321.65
Ford,Camry,2012,36404,Excellent,28179.8
Toyota,Civic,2019,81972,Good,18901.5
Toyota,Civic,2018,90846,Good,19457.8
Ford,Camry,2015,11809,Fair,26409.65
Nissan,Silverado,2010,19317,Excellent,31034.15
Toyota,Silverado,2020,54542,Excellent,19272.9
Chevrolet,Camry,2019,16493,Excellent,22175.45
Honda,Civic,2012,99506,Excellent,25024.7
Ford,Camry,2012,38647,Fair,28067.75
Nissan,F-150,2018,103960,Excellent,18802.1
Ford,F-150,2017,132338,Excellent,18383.1
Honda,Silverado,2014,68639,Excellent,24568.15
Honda,Camry,2014,56311,Good,25184.35
Ford,Camry,2012,102278,Good,24886
Ford,Altima,2015,35930,Good,25203.5
Toyota,Civic,2016,96869,Fair,21156.45
Chevrolet,F-150,2010,87051,Good,27647.35
Ford,Camry,2020,46163,Excellent,19691.75
Honda,F-150,2017,119991,Good,19000.55
Ford,Altima,2017,135196,Good,18240.3
Nissan,Altima,2018,23116,Excellent,22844.3
Chevrolet,Altima,2018,66236,Excellent,20688.2
Toyota,F-150,2010,144751,Excellent,24762.45
Toyota,F-150,2017,101000,Excellent,19949.9
Honda,Civic,2016,27511,Excellent,24624.45
Chevrolet,Civic,2020,14488,Excellent,21275.6
Nissan,Silverado,2021,105493,Excellent,15725.45
Nissan,Camry,2013,58378,Good,26081.2
Toyota,Altima,2013,119427,Excellent,23028.65
Honda,Silverado,2016,119802,Excellent,20010
Toyota,Altima,2012,141113,Good,22944.45
Toyota,Silverado,2011,146622,Excellent,23669
Honda,Altima,2018,79364,Excellent,20031.9
Chevrolet,Silverado,2015,141793,Excellent,19910.45
Nissan,Civic,2011,14744,Excellent,30262.9
Chevrolet,Silverado,2021,70347,Good,17482.55
Chevrolet,Civic,2011,68245,Good,27587.65
Chevrolet,F-150,2017,83613,Excellent,20819.45
Nissan,Altima,2018,133106,Good,17344.8
Toyota,F-150,2013,119617,Fair,23019.05
Ford,F-150,2015,57207,Excellent,24139.65
Nissan,Altima,2010,52477,Excellent,29376.15
Nissan,F-150,2020,37978,Excellent,20101.1
Nissan,Civic,2015,53814,Excellent,24309.4
Honda,Camry,2010,17346,Fair,31132.8
Ford,Civic,2022,44885,Excellent,17755.85
Nissan,F-150,2017,50778,Excellent,22461.1
Nissan,Silverado,2011,70039,Good,27498.15
Nissan,F-150,2012,89140,Good,25543.1
Toyota,Altima,2018,43774,Excellent,21811.4
Chevrolet,Civic,2011,22840,Excellent,29857.9
Ford,Altima,2011,76361,Good,27182.05
Nissan,Camry,2010,82212,Good,27889.4
Chevrolet,Civic,2022,113433,Excellent,14328.45
Toyota,Camry,2019,69114,Fair,19544.4
Honda,Camry,2011,144023,Fair,23798.95
Honda,Camry,2017,28625,Excellent,23568.85
Honda,Altima,2020,108484,Excellent,16575.9
Ford,Civic,2014,119922,Excellent,22004
Chevrolet,Altima,2010,18123,Excellent,31093.95
Honda,F-150,2014,46654,Good,25667.3
Chevrolet,F-150,2011,98362,Good,26082
Ford,Camry,2022,74707,Good,16264.65
Chevrolet,F-150,2020,75798,Excellent,18210.1
Chevrolet,Civic,2020,73758,Excellent,18312
Toyota,Silverado,2012,22391,Excellent,28880.45
Toyota,Camry,2021,85415,Good,16729.15
Chevrolet,Altima,2021,114819,Good,15258.95
Toyota,Altima,2012,121983,Excellent,23900.95
Ford,Silverado,2011,86608,Excellent,26669.6
Ford,Civic,2017,26893,Excellent,23655.45
Nissan,Silverado,2022,57948,Excellent,17102.7
Toyota,Camry,2019,116033,Excellent,17198.45
Ford,Altima,2022,57614,Good,17119.4
Nissan,F-150,2011,94477,Excellent,26276.15
Honda,Silverado,2016,79418,Excellent,22029.2
Toyota,F-150,2017,117603,Good,19119.95
Nissan,Silverado,2012,56035,Fair,27198.35
Nissan,Civic,2020,31617,Excellent,20419.25
Honda,Camry,2010,111314,Good,26434.4
Nissan,Camry,2015,93694,Good,22315.4
Chevrolet,Altima,2020,97649,Excellent,17117.65
Chevrolet,Altima,2010,143341,Good,24832.85
Honda,F-150,2020,49271,Good,19536.45
Toyota,F-150,2019,78634,Excellent,19068.3
Nissan,Silverado,2011,77599,Good,27120.15
Toyota,Altima,2022,110727,Fair,14463.65
Ford,Camry,2016,113300,Excellent,20335
Toyota,Civic,2018,66884,Excellent,20655.9
Nissan,Altima,2012,23004,Good,28849.8
Nissan,Altima,2013,39951,Excellent,27002.55
Ford,Silverado,2018,130659,Excellent,17467.05
Ford,Silverado,2015,127075,Excellent,20646.15
Ford,F-150,2020,20087,Excellent,20995.75
Toyota,Civic,2017,67872,Excellent,21606.4
Nissan,Altima,2020,11995,Excellent,21400.35
Ford,F-150,2022,144488,Excellent,12775.7
Ford,Silverado,2012,80614,Fair,25969.4
Ford,Civic,2021,11008,Excellent,20449.7
Chevrolet,Altima,2013,126240,Excellent,22688.1
Nissan,Camry,2010,44176,Excellent,29791.3
Ford,Silverado,2011,61439,Excellent,27928.15
Chevrolet,Camry,2022,33301,Excellent,18335.05
Nissan,Civic,2015,22701,Good,25864.95
Nissan,Camry,2019,88786,Excellent,18560.8
Honda,Silverado,2013,131297,Excellent,22435.15
Chevrolet,F-150,2010,127915,Excellent,25604.35
Toyota,Camry,2010,89811,Fair,27509.55
Chevrolet,F-150,2016,26015,Good,24699.35
Toyota,Silverado,2019,60439,Excellent,19978.05
Ford,Civic,2018,62889,Good,20855.55
Chevrolet,Civic,2014,15780,Excellent,27211.1
Honda,Silverado,2021,119069,Excellent,15046.65
Chevrolet,Silverado,2016,49785,Excellent,23510.85
Nissan,Camry,2011,29605,Fair,29519.85
Nissan,Silverado,2011,118725,Excellent,25063.85
Chevrolet,F-150,2013,29419,Excellent,27529.15
Nissan,Silverado,2018,137243,Fair,17137.95
Ford,Civic,2015,94655,Good,22267.25
Ford,F-150,2021,77019,Excellent,17148.95
Chevrolet,F-150,2010,63956,Good,28802.3
Honda,Civic,2019,49430,Excellent,20528.5
Nissan,Civic,2019,88161,Excellent,18591.95
Honda,Silverado,2021,96829,Excellent,16158.65
Honda,F-150,2022,59978,Fair,17001.2
Ford,Silverado,2016,13887,Good,25305.65
Honda,Civic,2010,29471,Excellent,30526.55
Honda,F-150,2019,72274,Excellent,19386.4
Ford,Civic,2020,107666,Fair,16616.8
Toyota,Civic,2015,127814,Excellent,20609.4
Toyota,F-150,2020,44070,Excellent,19796.6
Toyota,F-150,2010,111984,Excellent,26400.9
Nissan,Civic,2016,64951,Excellent,22752.55
Chevrolet,Altima,2015,10380,Excellent,26481.1
Toyota,Civic,2016,14614,Excellent,25269.4
Chevrolet,Civic,2018,48931,Excellent,21553.55
Toyota,F-150,2012,129019,Excellent,23549.05
Toyota,Silverado,2013,127266,Good,22636.8
Nissan,F-150,2016,48764,Good,23561.9
Toyota,Altima,2016,137717,Good,19114.25
Toyota,F-150,2015,116517,Good,21174.25
Honda,Altima,2020,35657,Fair,20217.25
Nissan,F-150,2016,99491,Excellent,21025.55
Ford,F-150,2019,126402,Excellent,16680
Nissan,Altima,2011,149343,Excellent,23532.75
Honda,Altima,2014,101720,Excellent,22914
Toyota,Camry,2015,24020,Excellent,25799.1
Chevrolet,Civic,2020,116223,Excellent,16188.95
Ford,Silverado,2019,131090,Excellent,16445.5
Chevrolet,Altima,2022,14891,Fair,19255.55
Ford,F-150,2016,44978,Excellent,23751.2
Nissan,Civic,2019,27588,Good,21620.7
Honda,Silverado,2014,18854,Good,27057.3
Nissan,Camry,2019,63399,Excellent,19830.15
Chevrolet,F-150,2011,128100,Excellent,24595.1
Honda,F-150,2014,145225,Excellent,20738.75
Toyota,Camry,2011,144456,Excellent,23777.1
Ford,Civic,2011,10079,Excellent,30496.15
Nissan,Camry,2015,98839,Excellent,22058.15
Ford,F-150,2011,128863,Fair,24556.95
Toyota,Camry,2021,144496,Excellent,13775.2
Toyota,Camry,2014,148505,Good,20574.75
Ford,F-150,2019,122685,Excellent,16865.75
Chevrolet,Camry,2019,106227,Good,17688.65
Chevrolet,Civic,2011,30366,Fair,29481.7
Chevrolet,Altima,2022,139004,Fair,13049.8
Ford,Altima,2017,109535,Excellent,19523.25
Toyota,Altima,2021,136052,Fair,14197.5
Ford,Camry,2017,71493,Excellent,21425.45
Ford,F-150,2013,64742,Excellent,25763
Nissan,Camry,2013,29720,Excellent,27514
Nissan,Camry,2019,38797,Excellent,21060.25
Toyota,Altima,2015,76373,Excellent,23181.35
Honda,Altima,2017,22255,Excellent,23887.35
Toyota,F-150,2016,15027,Good,25248.75
Toyota,Civic,2019,44445,Good,20777.85
Honda,Silverado,2020,105729,Excellent,16713.65
Ford,Altima,2011,10786,Excellent,30460.8
Chevrolet,Altima,2021,128974,Excellent,14551.3
Toyota,Civic,2022,139651,Excellent,13017.55
Chevrolet,Silverado,2011,79307,Good,27034.65
Nissan,Camry,2014,74491,Excellent,24275.55
Honda,Altima,2012,105128,Good,24743.7
Nissan,F-150,2013,49149,Good,26542.65
Ford,Camry,2015,97393,Excellent,22130.45
Chevrolet,Altima,2021,51669,Excellent,18416.65
Toyota,Altima,2012,145731,Excellent,22713.45
Nissan,Camry,2012,31349,Excellent,28432.65
Honda,Silverado,2020,59912,Good,19004.5
Ford,F-150,2013,42090,Good,26895.6
Nissan,F-150,2015,57147,Excellent,24142.75
Nissan,Altima,2017,56782,Good,22160.9
Nissan,Silverado,2014,14405,Excellent,27279.85
Ford,Civic,2011,144382,Excellent,23781
Ford,Civic,2019,98392,Good,18080.4
Ford,Civic,2021,78264,Fair,17086.8
Chevrolet,Civic,2019,63972,Excellent,19801.5
Nissan,Silverado,2020,94694,Excellent,17265.4
Honda,Camry,2010,104044,Excellent,26797.8
Nissan,Altima,2019,12555,Good,22372.15
Ford,Altima,2021,123549,Excellent,14822.65
Nissan,Civic,2021,57139,Good,18143.15
Toyota,Silverado,2015,17004,Good,26149.9
Chevrolet,Altima,2014,73885,Excellent,24305.85
Toyota,Silverado,2012,93543,Excellent,25322.95
Toyota,Silverado,2018,96735,Excellent,19163.35
Toyota,Altima,2017,105618,Good,19719.2
Chevrolet,Camry,2011,65729,Good,27713.55
Ford,Camry,2016,99676,Excellent,21016.3
Chevrolet,Camry,2018,147651,Excellent,16617.45
Honda,F-150,2013,135326,Good,22233.8
Nissan,F-150,2010,50011,Good,29499.45
Ford,Altima,2015,31804,Excellent,25409.9
Nissan,F-150,2015,103452,Excellent,21827.5
Nissan,Silverado,2018,81973,Fair,19901.35
Ford,Civic,2020,68319,Excellent,18584.15
Ford,Civic,2010,51796,Fair,29410.3
Toyota,Silverado,2011,73851,Good,27307.55
Toyota,Silverado,2022,56697,Good,17165.25
Nissan,Silverado,2016,11305,Good,25434.75
Honda,Civic,2011,117131,Good,25143.45
Honda,Silverado,2015,48441,Good,24577.95
Honda,Silverado,2013,26857,Good,27657.15
Toyota,Silverado,2015,133560,Excellent,20322.1
Honda,Civic,2015,143862,Excellent,19806.9
Nissan,Silverado,2011,137159,Fair,24142.15
Nissan,Camry,2015,69944,Good,23502.7
Nissan,Altima,2013,78616,Good,25069.3
Honda,Camry,2011,98208,Fair,26089.5
Honda,Altima,2014,67624,Excellent,24618.7
Nissan,Civic,2021,106793,Excellent,15660.45
Nissan,Silverado,2014,39631,Excellent,26018.55
Chevrolet,Silverado,2016,116407,Good,20179.75
Nissan,F-150,2010,48764,Good,29561.9
Ford,Camry,2014,128951,Good,21552.55
Toyota,Civic,2021,12202,Excellent,20390
Honda,Silverado,2021,29624,Excellent,19518.9
Ford,Altima,2011,122440,Fair,24878.1
Chevrolet,Camry,2012,47357,Excellent,27632.15
Honda,Camry,2015,97155,Fair,22142.35
Chevrolet,Camry,2019,47483,Excellent,20625.95
Honda,Civic,2016,118154,Good,20092.3
Toyota,Altima,2021,129563,Excellent,14521.85
Honda,F-150,2013,107377,Good,23631.15
Ford,Silverado,2017,93016,Good,20349.2
Nissan,Civic,2021,117283,Excellent,15135.95
Honda,Altima,2019,17700,Excellent,22115.1
Ford,Civic,2012,72515,Excellent,26374.35
Nissan,Civic,2019,117574,Excellent,17121.3
Chevrolet,F-150,2021,48316,Excellent,18584.3
Chevrolet,Altima,2014,76270,Fair,24186.6
Honda,F-150,2022,77705,Good,16114.85
Honda,Silverado,2015,81927,Excellent,22903.75
Toyota,Silverado,2018,148147,Good,16592.75
Toyota,F-150,2014,57872,Good,25106.4
Honda,Silverado,2014,89643,Excellent,23517.95
Nissan,Civic,2021,41393,Fair,18930.45
Honda,F-150,2012,131779,Fair,23411.15
Nissan,Altima,2018,45636,Excellent,21718.2
Chevrolet,Camry,2016,51005,Excellent,23449.85
Nissan,Civic,2017,80534,Excellent,20973.3
Nissan,Silverado,2022,83667,Good,15816.65
Honda,Camry,2019,24396,Good,21780.3
Nissan,Camry,2011,12670,Excellent,30366.5
Toyota,Altima,2017,133563,Good,18321.95
Toyota,Altima,2019,35960,Excellent,21202
Toyota,Camry,2018,127007,Fair,17649.75
Chevrolet,Altima,2011,112332,Excellent,25383.5
Nissan,F-150,2018,23963,Excellent,22801.95
Chevrolet,F-150,2018,102496,Excellent,18875.2
Nissan,Civic,2011,98379,Good,26081.05
Ford,F-150,2010,32664,Fair,30366.8
Nissan,Silverado,2013,79668,Excellent,25016.7
Ford,Altima,2022,77020,Good,16149.1
Chevrolet,F-150,2022,26242,Excellent,18687.9
Nissan,Civic,2019,93552,Excellent,18322.4
Chevrolet,Camry,2019,97616,Fair,18119.3
Toyota,Camry,2016,127326,Excellent,19633.7
Chevrolet,Silverado,2011,29379,Excellent,29531.15
Toyota,Camry,2019,132258,Excellent,16387.2
Ford,Altima,2012,26858,Excellent,28657.2
Toyota,Silverado,2019,132549,Excellent,16372.65
Honda,Camry,2017,137062,Fair,18147
Nissan,Altima,2014,102123,Fair,22893.95
Nissan,Camry,2022,87290,Good,15635.6
Honda,Civic,2015,146704,Excellent,19664.9
Toyota,Altima,2017,137604,Good,18119.9
Nissan,Altima,2016,61257,Excellent,22937.25
Toyota,Civic,2011,68325,Excellent,27583.75
Toyota,Civic,2020,94847,Good,17257.75
Honda,Civic,2014,131078,Fair,21446.2
Toyota,F-150,2019,52450,Fair,20377.6
Chevrolet,Camry,2016,13492,Excellent,25325.5
Ford,Silverado,2020,16317,Good,21184.25
Honda,F-150,2019,79262,Excellent,19037
Honda,Civic,2011,51775,Excellent,28411.35
Chevrolet,Altima,2017,21717,Excellent,23914.25
Toyota,Camry,2021,105673,Excellent,15716.45
Ford,Civic,2019,13424,Excellent,22328.8
Nissan,Silverado,2011,32459,Fair,29377.05
Chevrolet,Altima,2019,105923,Excellent,17703.95
Ford,Altima,2016,91947,Excellent,21402.65
Ford,Altima,2013,58045,Excellent,26097.85
Honda,Camry,2016,125517,Excellent,19724.15
Toyota,Civic,2019,126523,Excellent,16673.95
Toyota,Silverado,2014,118261,Excellent,22087.05
Honda,Silverado,2014,72376,Excellent,24381.1
Honda,Silverado,2013,142970,Excellent,21851.6
Honda,Camry,2012,140853,Excellent,22957.45
Nissan,Camry,2015,75691,Excellent,23215.55
Honda,Silverado,2016,100367,Good,20981.75
Toyota,Altima,2020,37051,Excellent,20147.45
Ford,Silverado,2018,141756,Excellent,16912.3
Toyota,Civic,2018,59531,Excellent,21023.55
Chevrolet,F-150,2019,46696,Excellent,20665.1
Chevrolet,Civic,2016,66677,Good,22666.25
Nissan,F-150,2016,39911,Good,24004.55
Toyota,Silverado,2021,42395,Excellent,18880.35
Honda,Silverado,2013,28141,Excellent,27592.95
Honda,Altima,2020,103522,Excellent,16823.9
Ford,Camry,2017,120980,Fair,18951.1
Ford,F-150,2020,123309,Excellent,15834.55
Chevrolet,F-150,2020,132448,Fair,15377.6
Chevrolet,Camry,2018,52704,Good,21364.8
Toyota,Camry,2014,149570,Excellent,20521.6
Ford,Altima,2019,84918,Excellent,18754.1
Chevrolet,Altima,2014,138012,Excellent,21099.3
Ford,Camry,2018,118435,Excellent,18078.35
Toyota,Altima,2020,121125,Excellent,15943.75
Ford,Civic,2014,44962,Excellent,25752
Toyota,Silverado,2012,57881,Good,27105.95
Honda,Silverado,2016,130595,Good,19470.15
Honda,Silverado,2019,86855,Fair,18657.35
Ford,F-150,2018,42669,Excellent,21866.55
Ford,Camry,2019,127210,Excellent,16639.5
Ford,Silverado,2022,111694,Good,14415.4
Chevrolet,Camry,2010,50056,Excellent,29497.3
Ford,Silverado,2011,102294,Fair,25885.4
Ford,Civic,2017,23363,Excellent,23831.85
Toyota,Altima,2011,30166,Excellent,29491.8
Chevrolet,Camry,2021,106594,Excellent,15670.4
Ford,Silverado,2016,48490,Good,23575.4
Ford,Silverado,2010,93271,Excellent,27336.55
Ford,Silverado,2017,40831,Good,22958.55
Nissan,Silverado,2018,86192,Excellent,19690.5
Chevrolet,Silverado,2014,44619,Excellent,25769.05
Ford,Civic,2022,25928,Excellent,18703.7
Nissan,Camry,2013,43433,Good,26828.35
Nissan,Altima,2011,60548,Good,27972.7
Honda,Altima,2014,90224,Good,23488.7
Toyota,Altima,2010,51134,Good,29443.4
Honda,Silverado,2017,63390,Excellent,21830.5
Toyota,F-150,2021,18104,Excellent,20094.7
Nissan,Civic,2016,89158,Fair,21542.1
Chevrolet,Silverado,2021,30611,Excellent,19469.45
Chevrolet,Camry,2014,121589,Excellent,21920.65
Chevrolet,Camry,2019,34918,Good,21254.2
Toyota,F-150,2020,99917,Fair,17004.15
Honda,Altima,2014,58887,Excellent,25055.55
Nissan,Altima,2021,101862,Excellent,15907
Honda,Camry,2014,51798,Excellent,25410.2
Ford,Civic,2010,14502,Good,31275
Honda,Altima,2016,101123,Excellent,20943.95
Honda,Camry,2013,17912,Excellent,28104.3
Ford,Civic,2019,36297,Good,21185.15
Honda,Silverado,2020,11052,Excellent,21447.5
Honda,Altima,2012,40442,Good,27978
Honda,Camry,2011,19491,Good,30025.55
Toyota,Camry,2019,31246,Excellent,21437.8
Chevrolet,Camry,2010,97733,Good,27113.35
Honda,Altima,2011,28108,Good,29594.5
Toyota,Civic,2010,59668,Excellent,29016.7
Honda,Altima,2011,58163,Good,28091.85
Honda,Altima,2022,60927,Excellent,16953.65
Chevrolet,Silverado,2014,22980,Fair,26851.1
Honda,Camry,2014,19437,Good,27028.15
Chevrolet,Civic,2013,46895,Good,26655.35
Chevrolet,Silverado,2015,27971,Excellent,25601.45
Honda,Silverado,2022,23865,Fair,18806.85
Chevrolet,F-150,2021,102564,Excellent,15871.9
Chevrolet,Camry,2011,134783,Fair,24260.95
Chevrolet,F-150,2020,133725,Good,15313.85
Toyota,Silverado,2015,136557,Good,20172.15
Nissan,Altima,2019,93735,Good,18313.35
Toyota,Camry,2010,124705,Excellent,25764.85
Nissan,Silverado,2011,121548,Excellent,24922.5
Toyota,Camry,2019,144647,Excellent,15767.75
Toyota,Camry,2012,71281,Good,26436.05
Nissan,Silverado,2020,103321,Good,16834.05
Ford,Camry,2014,110462,Good,22477
Ford,Altima,2012,99189,Fair,25040.65
Ford,Silverado,2022,19645,Excellent,19017.65
Ford,F-150,2012,71988,Excellent,26400.5
Chevrolet,F-150,2011,27303,Good,29634.95
Chevrolet,Camry,2010,99101,Excellent,27044.95
Chevrolet,Camry,2016,71865,Excellent,22406.65
Chevrolet,Altima,2013,120835,Good,22958.35
Ford,Camry,2011,123679,Fair,24816.15
Ford,Silverado,2013,114176,Excellent,23291.2
Ford,Camry,2021,14029,Fair,20298.45
Ford,F-150,2019,42231,Excellent,20888.55
Nissan,Camry,2018,27069,Good,22646.65
Chevrolet,Altima,2012,149613,Good,22519.45
Honda,Silverado,2017,70771,Excellent,21461.55
Honda,Altima,2018,89682,Excellent,19515.9
Chevrolet,F-150,2016,70317,Excellent,22484.25
Chevrolet,Silverado,2020,37236,Excellent,20138.2
Honda,Silverado,2019,63167,Excellent,19841.65
Nissan,Civic,2016,127662,Excellent,19617
Toyota,Civic,2010,105765,Excellent,26711.85
Honda,F-150,2016,46605,Excellent,23669.85
Honda,Altima,2010,109918,Excellent,26504.2
Honda,F-150,2015,44741,Excellent,24763.05
Chevrolet,Altima,2020,64646,Fair,18767.8
Chevrolet,Silverado,2019,130681,Excellent,16465.95
Chevrolet,Civic,2021,121983,Good,14900.75
Toyota,Altima,2016,12869,Excellent,25356.65
Nissan,Civic,2010,74570,Excellent,28271.5
Honda,Camry,2016,125259,Fair,19737.05
Ford,F-150,2019,22474,Excellent,21876.4
Ford,Camry,2018,17053,Fair,23147.45
Nissan,Civic,2021,122651,Good,14867.55
Honda,Silverado,2021,130042,Good,14498
Honda,F-150,2013,33515,Excellent,27324.25
Ford,Altima,2012,101831,Excellent,24908.55
Ford,Civic,2021,30893,Excellent,19455.35
Chevrolet,F-150,2014,33760,Good,26312.1
Honda,Silverado,2018,53638,Good,21318.2
Ford,Altima,2010,134717,Excellent,25264.15
Toyota,Civic,2017,70870,Fair,21456.6
Ford,F-150,2022,147742,Excellent,12613
Chevrolet,Altima,2018,40594,Good,21970.4
Toyota,Silverado,2014,24128,Fair,26793.6
Toyota,Altima,2020,65285,Good,18735.85
Chevrolet,Camry,2017,22334,Excellent,23883.4
Nissan,Altima,2011,90734,Good,26463.4
Ford,Silverado,2012,129184,Excellent,23540.9
Honda,Altima,2019,71338,Excellent,19433.2
Toyota,Silverado,2015,120720,Fair,20964.1
Toyota,Civic,2012,132012,Good,23399.4
Nissan,Silverado,2014,55001,Excellent,25249.95
Honda,Silverado,2012,140142,Excellent,22993
Nissan,Camry,2022,62974,Fair,16851.2
